2016,Up/down,2015,2014,2013,Name,Nationality,Club at Dec 20 2016,Domestic league,Age at 20 Dec 2016,RAW TOTAL,HIGHEST SCORE REMOVED,FINAL SCORE,VOTES CAST,No1 PICK
1,1,2,1,2,Cristiano Ronaldo,Portugal,Real Madrid,Spain,32,4829,40,4789,124,63
2,-1,1,2,1,Lionel Messi,Argentina,Barcelona,Spain,30,4761,40,4721,124,30
3,1,4,6,9,Luis Suarez,Uruguay,Barcelona,Spain,30,4495,40,4455,123,12
4,31,35,74,,Antoine Griezmann,France,Atl̩tico Madrid,Spain,26,4325,40,4285,122,13
5,-2,3,7,6,Neymar,Brazil,Barcelona,Spain,25,4288,40,4248,121,1
6,10,16,8,7,Gareth Bale,Wales,Real Madrid,Spain,28,4096,40,4056,120,4
7,-2,5,30,18,Robert Lewandowski,Poland,Bayern Munich,Germany,29,3157,38,3119,114,0
8,19,27,,79,Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,Germany,28,2965,36,2929,118,0
9,1,10,22,95,Alexis Sannchez,Chile,Arsenal,England,29,2733,38,2695,108,0
10,87,97,,,Riyad Mahrez,Algeria,Leicester City,England,25,2622,40,2582,108,1
11,-2,9,10,10,Sergio Age_ero,Argentina,Manchester City,England,29,2569,38,2531,104,0
12,19,31,23,61,Luka Modric,Croatia,Real Madrid,Spain,32,2448,36,2412,106,0
13,1,14,,,Kevin De Bruyne,Belgium,Manchester City,England,26,2419,38,2381,105,0
14,34,48,68,56,Gonzalo Higuain,Argentina,Juventus,Italy,28,2184,36,2148,100,0
15,-3,12,28,5,Andr̩s Iniesta,Spain,Barcelona,Spain,33,2134,38,2096,87,0
16,New,,,,N'Golo Kant̩,France,Chelsea,England,25,2073,37,2036,89,0
17,-6,11,20,,Paul Pogba,France ,Manchester United,England,24,1988,36,1952,94,0
18,-10,8,3,22,Manuel Neuer,Germany,Bayern Munich,Germany,31,1941,37,1904,93,0
19,49,68,,,Jamie Vardy,England,Leicester City,England,29,1883,38,1845,91,0
20,-13,7,13,3,Zlatan Ibrahimovic,Sweden,Manchester United,England,36,1845,36,1809,92,0
21,14,35,11,40,Toni Kroos,Germany,Real Madrid,Spain,27,1839,39,1800,81,0
22,12,34,72,24,Gianluigi Buffon,Italy,Juventus,Italy,38,1834,37,1797,97,0
23,3,26,54,12,Mesut zezil,Germany,Arsenal,England,29,1730,36,1694,87,0
24,16,40,34,,Diego Godin,Uruguay,Atl̩tico Madrid,Spain,31,1721,35,1686,84,0
25,12,37,32,45,Sergio Ramos,Spain,Real Madrid,Spain,31,1700,37,1663,87,0
26,66,92,,,Leonardo Bonucci,Italy,Juventus,Italy,29,1621,38,1583,82,0
27,63,90,,,Dimitri Payet,France,West Ham United,England,29,1578,35,1543,84,0
28,18,46,,,Philippe Coutinho,Brazil,Liverpool,England,24,1541,34,1507,85,0
29,-11,18,55,,David De Gea,Spain,Manchester United,England,27,1203,34,1169,69,0
30,New,212,,,Pepe,Portugal,Real Madrid,Spain,33,1090,36,1054,50,0
31,-25,6,5,25,Thomas Mu_ller,Germany,Bayern Munich,Germany,28,1074,34,1040,58,0
32,-17,15,33,26,Arturo Vidal,Chile,Bayern Munich,Germany,30,1057,37,1020,60,0
33,5,38,,,Harry Kane,England,Tottenham Hotspur,England,23,1029,30,999,70,0
34,-14,20,49,,Ivan Rakitiuu ,Croatia,Barcelona,Spain,29,1012,34,978,62,0
35,-22,13,16,100,Eden Hazard,Belgium,Chelsea,England,26,985,37,948,60,0
36,9,45,57,,J̩r̫me Boateng,Germany,Bayern Munich,Germany,29,862,34,828,53,0
37,New,118,,,Paulo Dybala,Argentina,Juventus,Italy,23,799,34,765,54,0
38,6,44,93,39,Gerard Piqu̩,Spain,Barcelona,Spain,29,705,34,671,45,0
39,-15,24,60,27,Sergio Busquets,Spain,Barcelona,Spain,29,681,33,648,44,0
40,New,114,76,64,Hugo Lloris,France,Tottenham Hotspur,England,30,550,32,518,38,0
41,29,70,42,90,Koke,Spain,Atl̩tico Madrid,Spain,25,517,26,491,42,0
42,New,217,,,Jan Oblak,Slovenia,Atl̩tico Madrid,Spain ,23,475,35,440,37,0
43,-4,39,14,72,Angel Di Mari_a,Argentina,PSG,France,29,477,37,440,36,0
