2016,Up/down,2015,2014,2013,Name,Nationality,Club at Dec 20 2016,Domestic league,Age at 20 Dec 2016,RAW TOTAL,HIGHEST SCORE REMOVED,FINAL SCORE,VOTES CAST,No1 PICK
44,-14,30,35,32,David Silva,Spain,Manchester City,England,31,446,35,411,31,0
45,-2,43,64,76,Marco Verratti,Italy,PSG,France,25,437,30,407,29,0
46,5,51,12,35,Diego Costa,Brazil,Chelsea,England,29,412,32,380,28,0
47,7,54,47,13,Edinson Cavani,Uruguay,PSG,France,30,395,34,361,27,0
48,40,88,,,Marcelo,Brazil,Real Madrid,Spain,28,390,35,355,29,0
49,33,82,,,Mauro Icardi,Argentina,Internazionale,Italy,23,352,28,324,28,0
50,-17,33,19,55,Karim Benzema,France,Real Madrid,Spain,30,348,29,319,24,0
51,24,75,39,66,Mats Hummels,Germany,Bayern Munich,Germany,29,337,27,310,25,0
52,-11,41,31,17,Thiago Silva,Brazil,PSG,France,33,323,28,295,24,0
53,New,,,,Casemiro,Brazil,Real Madrid,Spain,24,321,34,287,18,0
54,New,,,,Renato Sanches,Portugal,Bayern Munich,Germany,19,311,28,283,28,0
55,12,67,,,Keylor Navas,Costa Rica,Real Madrid,Spain,30,300,34,266,17,0
56,-35,21,9,15,Philipp Lahm,Germany,Bayern Munich,Germany,34,280,23,257,22,0
57,20,77,85,116,Henrikh Mkhitaryan,Armenia,Manchester United,England,27,273,26,247,20,0
58,New,,,75,Toby Alderweireld,Belgium,Tottenham Hotspur,England,28,271,28,243,21,0
59,New,,,,Kevin Gameiro,France,Atl̩tico Madrid,Spain,29,270,27,243,19,0
60,New,,,,Joshua Kimmich,Germany,Bayern Munich,Germany,21,262,24,238,27,0
61,-38,23,44,43,David Alaba,Austria,Bayern Munich,Germany,25,267,31,236,22,0
62,-37,25,27,63,Javier Mascherano,Argentina,Barcelona,Spain,32,258,33,225,20,0
63,-31,32,,,Douglas Costa,Brazil,Bayern Munich,Germany,26,256,33,223,16,0
64,New,,,,Gabriel Jesus,Brazil,Palmeiras,Brazil,19,252,30,222,29,0
65,4,69,,,Mohamed Salah,Egypt,Roma,Italy,24,223,32,191,17,0
66,5,71,103,104,Giorgio Chiellini,Italy,Juventus,Italy,32,213,23,190,20,0
67,New,148,,,Aritz Aduriz,Spain,Athletic Bilbao,Spain,36,223,34,189,18,0
68,32,100,,74,Laurent Koscielny,France,Arsenal,England,32,215,34,181,16,0
69,New,119,,,Sadio Man̩,Senegal,Liverpool,England,24,199,24,175,17,0
70,-15,55,58,81,Miralem Pjanic,Bosnia-Herzegovina,Juventus,Italy,26,176,20,156,16,0
71,-24,47,,,́lvaro Morata,Spain,Real Madrid,Spain,24,184,32,152,14,0
72,New,,,,Kasper Schmeichel,Denmark,Leicester City,England,30,180,31,149,14,0
73,New,107,75,49,Aaron Ramsey,Wales,Arsenal,England,26,171,24,147,16,0
74,New,,,,Raphaeal Guerreiro,Portugal,Borussia Dortmund,Germany,23,169,24,145,16,0
75,New,,,,Rui Patriecio,Portugal,Sporting Lisbon,Portugal,28,170,25,145,14,0
76,New,,,,Roberto Firmino,Brazil,Liverpool,England,26,160,24,136,14,0
77,New,,,,Yannick Carrasco,Belgium,Atletico Madrid,Spain,23,158,30,128,9,0
78,-20,58,81,41,Dani Alves,Brazil,Juventus,Italy,33,158,32,126,13,0
79,New,,,,Nani,Portugal ,Valencia,Spain,31,156,31,125,12,0
80,New,,,,Gianluigi Donnarumma,Italy,Milan,Italy,17,146,26,120,19,0
81,3,84,,,Claudio Bravo,Chile,Manchester City,England,33,137,31,106,9,0
82,New,104,,58,Marek Hamsik,Slovakia,Napoli,Italy,29,126,22,104,14,0
83,New,,,,Miguel Borja,Colombia,Atl̩tico Nacional,Colombia,23,136,35,101,8,0
84,-31,53,62,93,Blaise Matuidi,France,PSG,France,30,120,22,98,11,0
85,New,120,,44,Ilkay Gu_ndogan,Germany,Manchester City,England,27,116,21,95,10,0
86,1,87,,30,Juan Mata,Spain,Manchester United,England,29,129,34,95,8,0
87,-68,19,15,,James Rodri_guez,Colombia,Real Madrid,Spain,26,123,31,92,8,0
88,-26,62,52,,Raheem Sterling,England,Manchester City,England,23,113,23,90,8,0
89,-67,22,4,14,Arjen Robben,Netherlands,Bayern Munich,Germany,33,103,21,82,8,0
90,New,,,,Dele Alli,England,Tottenham Hotspur,England,20,104,23,81,14,0
91,New,,,,Adrien Silva,Portugal,Sporting Lisbon,Portugal,27,99,22,77,7,0
92,-56,36,17,47,Thibaut Courtois,Belgium,Chelsea,England,25,98,24,74,8,0
93,New,129,,,Fernandinho,Brazil,Manchester City,England,31,99,30,69,7,0
94,-33,61,,,Alexandre Lacazette,France,Lyon,France,26,94,27,67,9,0
95,New,,,,Wuver Banega,Argentina,Internazionale,Italy,28,96,29,67,6,0
96,0,96,79,31,Francesco Totti,Italy,Roma,Italy,40,87,22,65,9,0
97,-2,95,,67,Santi Cazorla,Spain,Arsenal,England,32,88,23,65,6,0
98,-17,81,,,Thiago Alc̢ntara,Spain,Bayern Munich,Germany,25,93,30,63,5,0
99,New,,,,Julian Weigl,Germany,Borussia Dortmund,Germany,21,79,20,59,12,0
100,New,,,,Ousmane Demb̩l̩,France,Borussia Dortmund,Germany ,19,78,21,57,13,0
101,,108,,,Romelu Lukaku,Belgium,Everton,England,24,71,14,57,12,0
102,,156,,,Islam Slimani,Algeria,Leicester City,England,28,72,16,56,9,0
103,,176,,,Andrea Barzagli,Italy,Juventus,Italy,35,79,24,55,6,0
104,,128,99,,Radja Nainggolan,Belgium,Roma,Italy,28,76,21,55,5,0
105,,,,,Javier Herniendez,Mexico,Bayer Leverkusen,Germany,28,69,17,52,8,0
106,,66,,,Anthony Martial,France,Manchester United,England,21,70,21,49,8,0
107,,,,,Vitolo,Spain,Sevilla,Spain,27,61,14,47,8,0
108,,,,,H̩ctor Belleri_n,Spain,Arsenal,England,21,75,29,46,8,0
109,,,,,Gylfi Sigurdsson,Iceland,Swansea City,England,27,64,20,44,10,0
110,,50,40,23,Marco Reus,Germany,Borussia Dortmund,Germany,28,73,29,44,7,0
111,,,,,Gabi,Spain,Atl̩tico Madrid,Spain,33,82,39,43,5,0
112,,136,,60,Gary Medel,Chile,Internazionale,Italy,29,72,30,42,5,0
113,,,,,Grzegorz Krychowiak,Poland,PSG,France,26,61,21,40,6,0
114,,79,,65,Petr Cech,Czech Republic,Arsenal,England,35,52,15,37,8,0
115,,179,,,Andre Gomes,Portugal,Barcelona,Spain,24,61,24,37,5,0
116,,,,,Jọo Marrio,Portugal,Internazionale,Italy,23,65,29,36,5,0
117,,198,,,Hatem Ben Arfa,France,PSG,France,29,64,30,34,7,0
118,,56,,,Raphaell Varane,France,Real Madrid,Spain,23,56,22,34,5,0
119,,105,,,Serge Aurier,Ivory Coast,PSG,France,24,51,17,34,5,0
120,,94,,,Sebastian Giovinco,Italy,Toronto,USA,29,45,12,33,8,0
121,,49,21,37,Xabi Alonso,Spain,Bayern Munich,Germany,36,52,21,31,5,0
122,,198,,86,Marquinhos,Brazil,PSG,France,23,40,15,25,6,0
123,,,,,Kalidou Koulibaly,Senegal,Napoli,Italy,25,32,11,21,6,0
124,,64,61,,Yacine Brahimi,Algeria,Porto,Portugal,27,70,26,44,4,0
125,,29,18,19,Yaya Tour̩,Ivory Coast,Manchester City,England,34,71,30,41,4,0
126,,,,,Adam Lallana,England,Liverpool,England,28,52,15,37,4,0
127,,65,,,Carlos Bacca,Colombia,Milan,Italy,30,39,12,27,4,0
128,,157,,,Eduardo Vargas,Chile,Hoffenheim,Germany,27,58,32,26,4,0
129,,52,,110,Willian,Brazil,Chelsea,England,28,52,26,26,3,0
130,,,,,Franco Armani,Colombia,Atl̩tico Nacional,Colombia,30,45,20,25,3,0
131,,60,43,28,Wayne Rooney,England,Manchester United,England,31,54,29,25,2,0
132,,115,,121,Claudio Marchisio,Italy,Juventus,Italy,30,42,20,22,3,0
133,,134,,,Omar Abdulrahman,UAE,Al Ain,UAE,25,53,32,21,4,0
134,,140,,,William Carvalho,Portugal,Sporting,Portugal,25,41,20,21,4,0
135,,126,,,Son Heung-min,South Korea,Tottenham Hotspur,England,25,40,19,21,3,0
136,,116,56,,Juan Cuadrado,Colombia,Juventus,Italy,28,56,35,21,2,0
137,,42,29,21,Andrea Pirlo,Italy,New York City FC,USA,37,39,19,20,3,0
138,,,,,Christian Pulisic,USA,Borussia Dortmund,Germany,18,25,10,15,3,0
139,,,,,Birkir Bjarnason,Iceland,Basel,Switzerland,28,25,11,14,4,0
140,,146,,101,Christian Eriksen,Denmark,Tottenham Hotspur,England,24,44,30,14,3,0
141,,78,38,70,Arda Turan,Turkey,Barcelona,Spain,30,34,20,14,2,0
142,,91,84,94,Isco,Spain,Real Madrid,Spain,24,38,25,13,2,0
143,,217,,,Marc-Andr̩ ter Stegen,Germany,Barcelona,Spain,24,32,20,12,4,0
144,,17,41,46,Carlos Tevez,Argentina,Boca Juniors,Argentina,33,24,12,12,4,0
145,,,66,,Edin Dzeko,Bosnia-Herzegovina,Roma,Italy,30,22,10,12,4,0
146,,139,,,Jonas Gon̤alves Oliveira,Brazil,Benfica,Portugal,32,37,27,10,3,0
147,,169,,,Sami Khedira,Germany,Juventus,Italy,29,29,19,10,3,0
148,,127,,,Lorenzo Insigne,Italy,Napoli,Italy,26,20,10,10,2,0
149,,167,,,Bernardo Silva,Portugal,Monaco,France,22,16,7,9,3,0
150,,198,,,Alessandro Florenzi,Italy,Roma,Italy,25,20,11,9,2,0
151,,80,24,34,Mario G̦tze,Germany,Borussia Dortmund,Germany,25,21,13,8,3,0
152,,144,,,Francis Coquelin,France,Arsenal,England,25,18,10,8,2,0
153,,,,,Marcus Rashford,England,Manchester United,England,19,25,17,8,2,0
154,,,,,Andrea Belotti,Italy,Torino,Italy,23,11,4,7,4,0
155,,72,,117,Jordi Alba,Spain,Barcelona,Spain,27,22,16,6,2,0
156,,89,,,Alex Teixeira,Brazil,Jiangsu Suning,China,26,9,4,5,3,0
156,,,,,Anthony Modeste,France,FC Cologne,Germany,28,11,6,5,3,0
158,,,,,Ivan Perisic,Croatia,Internazionale,Italy,27,19,14,5,2,0
159,,190,,,Marcelo Du_az,Chile,Celta Vigo,Spain,29,16,11,5,2,0
160,,122,,,Andr̩ Ayew,Ghana,West Ham United,England,27,7,3,4,3,0
160,,,,,Arkadiusz Milik,Poland,Napoli,Italy,22,7,3,4,3,0
160,,,,,Fedor Smolov,Russia,Krasnodar,Russia,26,13,9,4,3,0
163,,,,,Jose Fonte,Portugal,Southampton,England,33,27,23,4,2,0
164,,,,,Walter Montoya,Argentina,Rosario Central,Argentina,23,7,4,3,2,0
165,,,,33,Mario Balotelli,Italy,Nice,France,26,17,15,2,3,0
165,,,,,Paulinho,Brazil,Guangzhou,China,28,12,10,2,3,0
165,,,,,Virgil van Dijk,Netherlands,Southampton,England,25,17,15,2,3,0
165,,125,,,Felipe Anderson,Brazil,Lazio,Italy,23,6,4,2,2,0
165,,106,,,John Stones,England ,Manchester City,England ,22,14,12,2,2,0
165,,,,,Kelechi Iheanacho,Nigeria,Manchester City,England,20,5,3,2,2,0
171,,98,,,Andriy Yarmolenko,Ukraine,Dynamo Kyiv,Ukraine,27,10,9,1,2,0
171,,122,95,50,David Luiz,Brazil,Chelsea,England,30,7,6,1,2,0
171,,,,,Hakim Ziyech,Netherlands,Ajax,Netherlands,23,19,18,1,2,0
171,,59,,,Hulk,Brazil,Shanghai IPG,China,30,2,1,1,2,0
171,,,,,Macnelly Torres,Colombia,Atl̩tico Nacional,Colombia,32,18,17,1,2,0
171,,190,,,Quincy Promes,Netherlands,Spartak Moscow,Russia,25,6,5,1,2,0
171,,,,,Sardar Azmoun,Iran,Rostov,Russia,21,4,3,1,2,0
178,,,,,Elseid Hysaj,Albania,Napoli,Italy,22,31,31,0,1,0
178,,143,97,38,Daniele De Rossi,Italy,Roma,Italy,33,29,29,0,1,0
178,,,,,Davidson Sanchez,Colombia,Ajax,Netherlands,20,27,27,0,1,0
178,,,,,Fred,Brazil,Atletico Mineiro,Brazil,33,26,26,0,1,0
178,,,,,Bradley Wright-Phillips,England,New York Red Bulls,USA,31,22,22,0,1,0
178,,,,,Robinho,Brazil,Atl̩tico Mineiro,Brazil,32,22,22,0,1,0
178,,,,,David Villa,Spain,New York CIty FC,USA,35,21,21,0,1,0
178,,,,,Marcos Danilo Padilha,Brazil,Chapecoense,Brazil,31,21,21,0,1,0
178,,184,,,Ozan Tufan,Turkey,Fenerbah̤e,Turkey,21,21,21,0,1,0
178,,,,,Xherdan Shaqiri,Switzerland,Stoke City,England,26,21,21,0,1,0
178,,,,,Dirk Kuyt,Netherlands,Feyenoord,Netherlands,36,20,20,0,1,0
178,,,,,Alfredo Morelos,Colombia,Independiente Medellin,Colombia,20,19,19,0,1,0
178,,,,,Filipe Luis,Brazil,Atletico Madrid,Spain,31,19,19,0,1,0
178,,,,,Karim El Ahmadi,Morocco,Feyenoord,Netherlands,31,19,19,0,1,0
178,,212,,,Jos̩ Gim̩nez,Uruguay,Atl̩tico Madrid,Spain,21,18,18,0,1,0
178,,,,,Marlos Moreno,Colombia,Deportivo La Coruna,Spain,20,18,18,0,1,0
178,,141,65,,Vincent Enyeama,Nigeria,Lille,France,35,18,18,0,1,0
178,,135,,,Nicolass Gaitasn,Argentina,Atl̩tico Madrid,Spain,29,17,17,0,1,0
178,,219,,,Lucas Biglia,Argentina,Lazio,Italy,30,16,16,0,1,0
178,,57,37,42,Vincent Kompany,Belgium,Manchester City,England,31,16,16,0,1,0
178,,93,,,Carlos Sannchez,Uruguay,Monterrey,Mexico,32,15,15,0,1,0
178,,,,,Librado Azcona,Paraguay,Independiente del Valle,Ecuador,33,15,15,0,1,0
178,,219,,,Odion Ighalo,Nigeria,Watford,England,27,15,15,0,1,0
178,,,,,Ricardo Quaresma,Portugal,Besiktas,Turkey,33,15,15,0,1,0
178,,182,,,Ahmed Khalil,UAE,Al-Ahli,UAE,25,14,14,0,1,0
178,,217,,103,Luiz Gustavo,Brazil,Wolfsburg,Germany,30,14,14,0,1,0
178,,,,,Yerry Mina,Colombia,Palmeiras,Brazil,22,14,14,0,1,0
178,,,,,Bruno Fornaroli,Uruguay,Melbourne City,Australia,29,13,13,0,1,0
178,,,,,Oguzhan Ozyakup,Turkey,Besiktas,Turkey,24,13,13,0,1,0
178,,,,,Antonio Candreva,Italian,Internazionale,Italy,29,12,12,0,1,0
178,,,,,Atiba Hutchinson,Canada,Besiktas,Turkey,33,12,12,0,1,0
178,,,,,Danny Drinkwater,England,Leicester City,England,26,12,12,0,1,0
178,,157,,124,Mathieu Valbuena,France,Lyon,France,32,12,12,0,1,0
178,,,,,Ragnar Sigurdsson,Iceland,Fulham,England,30,12,12,0,1,0
178,,217,,,Eder,Italy,Internazionale,Italy,30,11,11,0,1,0
178,,,,,Suso,Spain,Milan,Italy,23,11,11,0,1,0
178,,198,,,Borja Valero,Spain,Fiorentina,Italy,31,10,10,0,1,0
178,,184,,92,Lucas Moura,Brazil,PSG,France,25,10,10,0,1,0
178,,,,,Mauro Boselli,Argentina,Leon,Mexico,31,10,10,0,1,0
178,,,,,Emil Forsberg,Sweden,RB Leipzig,Germany,25,9,9,0,1,0
178,,,,,Granit Xhaka,Switzerland,Arsenal,Switzerland,24,9,9,0,1,0
178,,,,,Iago Falque,Spain,Torino,Italy,26,8,8,0,1,0
178,,,,,Michael Carrick,England,Manchester United,England,35,8,8,0,1,0
178,,,,,Adrien Rabiot,France,PSG,France,21,7,7,0,1,0
178,,,,,Iago Aspas,Spain,Celta de Vigo,Spain,29,7,7,0,1,0
178,,,,,Kingsley Coman,France,Bayern Munich,Germany,20,7,7,0,1,0
178,,,,,Paco Alcascer,Spain,Barcelona,Spain,24,7,7,0,1,0
178,,,,,Dani Carvajal,Spain,Real Madrid,Spain,24,6,6,0,1,0
178,,76,26,4,Franck Rib̩ry,France,Bayern Munich,Germany,34,6,6,0,1,0
178,,,,,Juanfran,Spain,Atletico Madrid,Spain,31,6,6,0,1,0
178,,,,,Samuel Umtiti,Cameroon,Barcelona,France,23,6,6,0,1,0
178,,,,,Wes Morgan,Jamaica,Leicester City,England,32,6,6,0,1,0
178,,,,,Antonio Valencia,Ecuador,Manchester United,England,31,5,5,0,1,0
178,,,,,Julian Draxler,Germany,Wolfsburg,Germany,24,5,5,0,1,0
178,,,,,Roman Eremenko,Finland,CSKA Moscow,Russia,29,5,5,0,1,0
178,,179,51,,Daniel Sturridge,England,Liverpool,England,28,4,4,0,1,0
178,,209,,,Erik Lamela,Argentina,Tottenham Hotspur,England,25,4,4,0,1,0
178,,,,,Fernando Belluschi,Argentina,San Lorenzo,Argentina,33,4,4,0,1,0
178,,,,85,Lukasz Piszczek,Poland,Borussia Dortmund,Germany,32,4,4,0,1,0
178,,211,,,Mbwana Samatta,Tanzania,Genk,Belgium,24,4,4,0,1,0
178,,83,,,Nolito,Spain,Manchester City,England,31,4,4,0,1,0
178,,,,,Thiago Motta,Italy,Paris SG,France,34,4,4,0,1,0
178,,160,,,Artyom Dzyuba,Russia,Zenit St Petersburg,Russia,28,3,3,0,1,0
178,,173,,,Hakan Calhanoglu,Turkey,Bayer Leverkusen,Germany,22,3,3,0,1,0
178,,,,,Alex Sandro,Brazil,Juventus,Italy,25,2,2,0,1,0
178,,,,,Aron Gunarsson,Iceland,Cardiff City,England,27,2,2,0,1,0
178,,,,,Corentin Tolisso,France,Lyon,France,22,2,2,0,1,0
178,,155,63,16,Radamel Falcao,Colombia,Monaco,France,31,2,2,0,1,0
178,,168,,,R̼ben Neves,Portugal,Porto,Portugal,19,2,2,0,1,0
178,,,,,Andreas Granqvist,Sweden,Krasnodar,Russia,31,1,1,0,1,0
178,,,,,Darijo Srna,Croatia,Shakhtar Donetsk,Ukraine,34,1,1,0,1,0
178,,170,92,,H̩ctor Herrera,Mexico,Porto,Portugal,27,1,1,0,1,0
178,,132,69,,John Terry,England,Chelsea,England,36,1,1,0,1,0
178,,,,,Julian Brandt,Germany,Bayer Leverkusen,Germany,20,1,1,0,1,0
178,,,,,Kasper Dolberg,Denmark,Ajax,Netherlands,19,1,1,0,1,0
178,,,,,Timo Werner,Germany,Red Bull Leipzig,Germany,20,1,1,0,1,0
178,,,,,Victor Nilsson Lindelof,Sweden,Benfica,Portugal,22,1,1,0,1,0
